,month,IC,cumulative
0,20210506,-0.18751594559914933,-0.18751594559914933
1,20210601,0.029618258627609063,-0.15789768697154027
2,20210701,-0.00024592348214703155,-0.1581436104536873
3,20210802,0.11427376343284984,-0.04386984702083746
4,20210901,-0.08475795047887004,-0.12862779749970749
5,20211008,-0.004891532763510585,-0.13351933026321808
6,20211101,-0.0610213122570291,-0.19454064252024716
7,20211201,0.21505119796406758,0.02051055544382041
8,20220104,0.2941392574384188,0.3146498128822392
9,20220207,-0.07805112229533799,0.2365986905869012
10,20220301,-0.007635894378662342,0.22896279620823884
11,20220401,0.206286755070502,0.4352495512787409
12,20220505,0.10621365312993479,0.5414632044086757
13,20220601,-0.01728888933345984,0.5241743150752158
14,20220701,-0.0446106445238265,0.4795636705513893
15,20220801,0.33735760081253074,0.81692127136392
16,20220901,0.13943063161652555,0.9563519029804456
17,20221010,0.049879794665323,1.0062316976457686
18,20221101,0.22782775932440966,1.2340594569701782
19,20221201,0.09440145196091845,1.3284609089310966
20,20230103,0.12055768488703042,1.449018593818127
21,20230201,0.169699972601146,1.6187185664192731
22,20230301,-0.0893627168495203,1.5293558495697528
23,20230403,0.00913066929326434,1.5384865188630172
24,20230504,-0.03407536429443272,1.5044111545685845
25,20230601,-0.006002891893921256,1.4984082626746633
26,20230703,0.37671018142729246,1.8751184441019557
